                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                 1.7388,                 1.7589,                 1.7887,                0.65783,                0.58286,                0.59665,                0.30657,                 1.8081,                 1.6012,                 1.9189,              0.0094555,              0.0094555,              0.0094555
                     57,                  1.717,                 1.7224,                 1.7776,                0.67434,                0.58924,                0.60193,                0.32838,                 1.8057,                 1.5903,                 1.9178,              0.0094456,              0.0094456,              0.0094456
                     58,                 1.7041,                 1.7026,                 1.7723,                0.65942,                0.60011,                0.60271,                0.31725,                 1.8021,                 1.5808,                 1.9232,              0.0094357,              0.0094357,              0.0094357
                     59,                 1.7078,                 1.7112,                 1.7732,                0.69922,                0.60704,                0.61704,                0.32893,                 1.7783,                 1.5788,                 1.9087,              0.0094258,              0.0094258,              0.0094258
                     60,                 1.6986,                 1.6793,                 1.7632,                0.67303,                 0.6079,                0.61012,                0.32573,                 1.7937,                 1.5891,                 1.9141,              0.0094159,              0.0094159,              0.0094159
                     61,                  1.698,                 1.6744,                 1.7616,                0.66308,                0.60696,                 0.6214,                0.33417,                   1.79,                 1.5452,                 1.9119,               0.009406,               0.009406,               0.009406
                     62,                 1.6808,                 1.6524,                 1.7462,                0.72967,                0.62603,                 0.6387,                0.34223,                 1.7974,                 1.5268,                 1.9232,              0.0093961,              0.0093961,              0.0093961
                     63,                  1.689,                 1.6418,                 1.7526,                0.72856,                0.65964,                0.65344,                0.35424,                 1.7903,                 1.5239,                 1.9184,              0.0093862,              0.0093862,              0.0093862
                     64,                 1.6884,                  1.635,                 1.7523,                0.74556,                0.64723,                0.63969,                 0.3488,                  1.794,                 1.5393,                 1.9157,              0.0093763,              0.0093763,              0.0093763
                     65,                 1.6845,                 1.6318,                 1.7495,                0.71338,                0.62374,                0.64004,                0.34598,                 1.7923,                 1.5425,                 1.9173,              0.0093664,              0.0093664,              0.0093664
                     66,                 1.6773,                 1.6187,                 1.7369,                0.66009,                0.64089,                0.61027,                0.33599,                 1.7889,                 1.5318,                  1.916,              0.0093565,              0.0093565,              0.0093565
                     67,                 1.6689,                 1.6126,                 1.7362,                0.70497,                0.67179,                0.62616,                0.32702,                 1.7952,                 1.5323,                 1.9193,              0.0093466,              0.0093466,              0.0093466
                     68,                 1.6597,                 1.5949,                 1.7249,                0.70124,                0.68059,                0.62507,                0.33376,                 1.7842,                 1.5165,                 1.9101,              0.0093367,              0.0093367,              0.0093367
                     69,                 1.6513,                 1.5873,                 1.7255,                0.70912,                0.64694,                0.62736,                0.34126,                 1.7766,                 1.5075,                 1.9031,              0.0093268,              0.0093268,              0.0093268
                     70,                 1.6514,                 1.5753,                  1.711,                0.72889,                0.64319,                0.64158,                0.35287,                 1.7718,                 1.4998,                 1.9017,              0.0093169,              0.0093169,              0.0093169
