                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                 1.9241,                 2.2119,                 1.8925,                 0.5924,                0.49563,                0.50496,                0.24374,                 1.8822,                 1.8903,                 1.9258,              0.0092476,              0.0092476,              0.0092476
                     78,                 1.9135,                 2.1746,                 1.8855,                0.59738,                  0.503,                0.50026,                0.24607,                 1.8791,                 1.8877,                  1.925,              0.0092377,              0.0092377,              0.0092377
                     79,                 1.9142,                 2.1793,                 1.8735,                0.57943,                0.48657,                0.50114,                0.24549,                 1.8798,                 1.8824,                 1.9222,              0.0092278,              0.0092278,              0.0092278
                     80,                 1.9096,                 2.1769,                  1.875,                0.55784,                0.50252,                0.50277,                0.24607,                 1.8811,                 1.8763,                 1.9215,              0.0092179,              0.0092179,              0.0092179
                     81,                 1.9161,                 2.1745,                  1.871,                0.54221,                0.49581,                0.50596,                0.24491,                 1.8808,                 1.8694,                 1.9213,               0.009208,               0.009208,               0.009208
                     82,                 1.9141,                 2.1653,                 1.8752,                0.57279,                0.49894,                0.50508,                0.24495,                 1.8826,                 1.8668,                 1.9195,              0.0091981,              0.0091981,              0.0091981
                     83,                 1.9124,                 2.1586,                 1.8705,                0.60208,                0.47819,                0.51351,                0.24439,                 1.8797,                 1.8606,                 1.9154,              0.0091882,              0.0091882,              0.0091882
                     84,                 1.9104,                 2.1437,                 1.8627,                0.59333,                0.48324,                0.51465,                0.24901,                 1.8836,                 1.8581,                 1.9201,              0.0091783,              0.0091783,              0.0091783
                     85,                  1.908,                 2.1468,                 1.8606,                0.60161,                0.50021,                0.51755,                0.25153,                 1.8812,                 1.8547,                 1.9162,              0.0091684,              0.0091684,              0.0091684
                     86,                 1.9004,                 2.1388,                 1.8608,                0.57687,                0.49762,                0.51222,                0.24748,                 1.8807,                  1.846,                 1.9154,              0.0091585,              0.0091585,              0.0091585
                     87,                 1.9035,                 2.1471,                 1.8651,                0.55718,                0.51227,                0.50472,                0.24526,                 1.8805,                 1.8421,                 1.9127,              0.0091486,              0.0091486,              0.0091486
                     88,                 1.9023,                 2.1179,                  1.856,                0.55011,                0.50049,                0.50307,                0.24659,                 1.8808,                  1.833,                 1.9096,              0.0091387,              0.0091387,              0.0091387
                     89,                  1.893,                 2.1372,                 1.8443,                 0.5654,                0.48652,                0.50093,                0.24361,                 1.8788,                 1.8255,                  1.907,              0.0091288,              0.0091288,              0.0091288
                     90,                 1.8977,                 2.1017,                 1.8472,                0.55213,                0.49777,                0.50683,                0.24779,                 1.8746,                 1.8238,                 1.9047,              0.0091189,              0.0091189,              0.0091189
                     91,                 1.8903,                 2.1166,                 1.8455,                0.55325,                0.52304,                 0.5088,                0.24783,                 1.8746,                 1.8236,                 1.9036,               0.009109,               0.009109,               0.009109
                     92,                 1.8975,                 2.1112,                 1.8429,                0.55667,                0.52258,                0.51223,                0.25082,                  1.873,                 1.8268,                 1.9008,              0.0090991,              0.0090991,              0.0090991
                     93,                 1.8852,                 2.0937,                 1.8306,                0.56798,                0.51935,                0.51104,                0.25024,                 1.8718,                 1.8229,                 1.8977,              0.0090892,              0.0090892,              0.0090892
                     94,                 1.8864,                 2.1063,                 1.8294,                0.57143,                0.51885,                0.51377,                0.25298,                 1.8704,                 1.8219,                 1.8949,              0.0090793,              0.0090793,              0.0090793
                     95,                 1.8834,                 2.1025,                 1.8428,                0.58479,                0.49696,                 0.5084,                0.24968,                  1.872,                 1.8226,                 1.8967,              0.0090694,              0.0090694,              0.0090694
                     96,                 1.8898,                 2.0893,                 1.8325,                0.57718,                0.49713,                0.50803,                0.25269,                 1.8717,                 1.8173,                 1.8951,              0.0090595,              0.0090595,              0.0090595
                     97,                 1.8737,                 2.0541,                 1.8249,                0.57789,                0.49635,                0.51022,                0.25344,                 1.8697,                 1.8114,                 1.8923,              0.0090496,              0.0090496,              0.0090496
